Word,Count
bulletproof,11
savage,11
trap,11
pushin',11
goodness,10
brr,10
movie,10
rest,10
mr.,10
point,10
alone,10
tried,10
tous,10
serious,10
slip,10
race,10
bill,10
years,10
since,10
stand,10
coming,10
boobies,10
swag,10
bass,10
bone,10
boujee,10
average,10
dumb,10
can’t,10
patek,10
something,10
goofy,10
street,10
cheddar,10
wearing,10
ol',10
problem,10
probably,10
famous,10
rather,10
else,10
sock,10
i’ve,10
past,10
rapper,10
story,10
begrijp,10
watchin',10
niggas,10
nasty,10
married,10
bankroll,10
waist,10
bougie,10
funny,10
2,10
gassed,10
se,10
you’re,10
goat,10
makes,10
blunts,10
stride,10
coat,10
cupid,10
loki,10
litmas,10
jug,10
debt,10
i'on,10
booth,10
xanax,10
dry,9
bunch,9
christmas,9
не,9
beats,9
twenty,9
where's,9
future,9
were,9
comi-comico,9
nine,9
kill,9
hang,9
wake,9
cock,9
wah,9
late,9
kirkland,9
tonight,9
we're,9
lazy,9
score,9
slightly,9
fingers,9
triple,9
says,9
mhm,9
filled,9
proud,9
pogo,9
nothin',9
holy,9
sell,9
whatchu,9
mysterious,9
motorboat,9
start,9
spinnin',9
ridin',9
jewels,9
messed,9
comma,9
few,9
tesla,9
cling,9
chillin',9
ran,9
different,9
motion,9
stayin',9
dancin',9
glass,9
moss,9
voss,9
livin',9
beef,9
fun,9
ground,9
smash,9
store,9
words,9
using,9
pat,9
tomorrow,9
7,9
con,9
sai,9
chicken,9
ballet,9
swear,9
plenty,9
shits,9
grip,9
write,9
cuban,9
whipping,9
quit,9
living,9
brick,9
thrift,9
saving,9
scene,9
acting,9
pan,9
gracious,8
tito's,8
chick,8
laid,8
knew,8
zoom,8
meet,8
bucks,8
shh,8
peace,8
means,8
speak,8
smooth,8
hate,8
jours,8
convoqué,8
fifty,8
tu,8
son,8
town,8
goes,8
dinner,8
toe,8
hollow,8
shake,8
tee,8
sauna,8
seat,8
party,8
album,8
days,8
pow,8
sense,8
pocket,8
frozen,8
pot,8
front,8
girlfriend,8
fucks,8
sign,8
signed,8
al,8
young,8
copy,8
lotta,8
damage,8
leather,8
minutes,8
word,8
van,8
fee,8
songs,8
flows,8
k,8
mighty,8
cute,8
named,8
dummy,8
date,8
far,8
light,8
you'd,8
thank,8
yacht,8
taking,8
shots,8
anytime,8
clear,8
digits,8
lost,8
givin',8
flick,8
candy,8
30,8
key,8
matter,8
drip-drop,8
kate,8
bring,8
rubies,8
wish,8
buck,8
tough,8
blame,8
tape,8
plate,8
trippin',8
tofu,8
rules,8
bar,8
plus,8
wrapped,8
dovrei,8
da,8
groove,8
coupe,8
has,8
shorty,8
loud,8
blessed,8
jason,8
doubled,8
dentist,8
you'll,8
lavish,8
callin',8
hungry,8
–,8
rat,8
lip,8
goo,8
tower,8
telling,8
glock,8
mine,8
bando,8
joke,8
drugs,8
muffin,8
lake,8
fitness,8
mommy's,8
40,8
dripping,8
thang,8
asian,8
counterfeit,8
dig,8
babes,8
drive-by,8
beg,8
a-,8
confess,8
priorities,8
posers,8
groupies,8
pulled,7
pray,7
grow,7
beanie,7
froze,7
teach,7
saying,7
energy,7
killin',7
soon,7
passé,7
lyrics,7
deadman,7
businessman,7
grill,7
stress,7
started,7
relax,7
flying,7
motherfucker,7
dropped,7
thousand,7
10k,7
freaky,7
uh-uh,7
jumping,7
cars,7
statement,7
n,7
fact,7
guap,7
bottom,7
knees,7
thе,7
x,7
fill,7
fits,7
tua,7
te,7
per,7
spinners,7
cheap,7
knows,7
tellin',7
bang-bang,7
nuts,7
fifteen,7
trash,7
bus,7
tommy,7
pole,7
pope,7
balling,7
tight,7
situation,7
brazy,7
must,7
mona,7
wrists,7
options,7
lemonade,7
weak,7
rings,7
santa,7
lockjaw,7
4,7
arm,7
modest,7
attitude,7
growth,7
star,7
asked,7
ate,7
pockets,7
ease,7
delirious,7
history,7
c,7
bullet,7
falling,7
ik,7
plays,7
study,7
power,7
pressure,7
rude,7
bullshit,7
stuff,7
steak,7
calling,7
na-na-na-na,7
futon,7
politics,7
north,7
read,7
dire,7
lo,7
hahaha,7
fools,7
swervin',7
actin',7
să,7
bentley,7
soothing,7
post,7
ballin',7
pussies,7
anything,7
mary,7
mo',7
alexa,7
10,7
uninterested,7
pipin',7
fight,7
girlies,7
thin,7
goyard,7
billy,7
crusty,7
threw,7
snow,7
trunk,7
dong,7
coop,7
throat,7
brap,7
skip,7
yo-yo,7
olie,7
yellow,7
script,7
i’d,7
fall,7
chow,7
jugg,7
curvin',7
ye,7
grinding,7
‘cause,7
brass,7
skeet,7
nerfing,7
n****s,7
fair,6
weather,6
oops,6
paint,6
kalush,6
postin',6
those,6
treat,6
behind,6
felt,6
tout,6
lease,6
cheeks,6
paying,6
health,6
shooting,6
climb,6
consultation,6
slingshot,6
bomb,6
socks,6
buns,6
sesame,6
tequila,6
cougar,6
sweat,6
percent,6
sight,6
uber,6
vegan,6
healthy,6
global,6
confidence,6
bum,6
bright,6
safe,6
mon-,6
ditch,6
staying,6
whack,6
saw,6
credit,6
understand,6
dollar,6
cry,6
french,6
whatever,6
thirsty,6
40k,6
malena,6
prima,6
uomo,6
fabrics,6
collecting,6
honda,6
lesson,6
ego,6
classic,6
count,6
fufu,6
question,6
z,6
searching,6
clues,6
watching,6
act,6
sheesh,6
haven't,6
gimme,6
bih',6
spice,6
weeks,6
'less,6
sister,6
weird,6
naughty,6
12,6
fell,6
hanging,6
hunter,6
bow,6
dumper,6
oath,6
shoulda,6
sake,6
takin',6
before,6
favorite,6
he's,6
pho,6
mystery,6
grave,6
main,6
blessin',6
clock,6
hypocrite,6
saved,6
wonderin',6
geld,6
bespaard,6
scrape,6
alive,6
growing,6
sec,6
under,6
aggro,6
sneeze,6
homie,6
difficult,6
other,6
bite,6
groceries,6
drinkin',6
breakfast,6
passwords,6
brown,6
shoot,6
mil',6
europe,6
fees,6
quindi,6
supreme,6
bae,6
fur,6
lie,6
‘bout,6
mission,6
jump,6
girlie,6
holiday,6
trippythakid,6
drippin',6
grew,6
withdraw,6
"""lalalala",6
"lalala""",6
known,6
funds,6
together,6
tryna',6
their,6
lalalala,6
lalala,6
shoe,6
a-ring,6
spring,6
bossy,6
pouring,6
freeze,6
ones,6
lame,6
skate,6
nerfs,6
6,6
fans,6
guapanese,6
tick,6
dim,6
doubles,6
treble,6
lips,6
jurassic,6
lift,6
swerve,6
dab,6
ceo,6
chest,6
bandwidth,6
peter,6
sloppy,6
tech,6
sus,6
test,6
skrrrr,6
bluffin’,6
meant,6
sippity,6
semi-automatic,6
brrra,6
eiffeled,6
unibrow,6
liking,6
bitties,6
paw,6
gang-gang,6
seventy,6
franklin,6
n****,6
legs,5
less,5
backpack,5
everywhere,5
everytime,5
dirty,5
connor,5
win,5
keys,5
grant,5
rub,5
blew,5
dice,5
rip,5
ouais,5
paris,5
eh,5
studio,5
air,5
mile,5
cat,5
wealth,5
boo,5
pill,5
profit,5
drum,5
tips,5
wrap,5
raw,5
worth,5
style,5
swish,5
marijuana,5
click,5
gap,5
million,5
uzi,5
commas,5
label,5
somehow,5
crease,5
thumb,5
[pre-chorus:,5
berry,5
cali,5
bit',5
month,5
short,5
po',5
ti,5
faccia,5
perché,5
sempre,5
dimmi,5
quello,5
small,5
middle,5
wifey,5
fancy,5
vids,5
forty,5
apple,5
stackin',5
scooby,5
shitty,5
sleepin',5
countin',5
mail,5
letters,5
peso,5
